# raceline for track_id=oschersleben (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.2.0, sysid_session_id=none-preliminary
# generation_params: track_shape=external_centerline, source_centerline_csv=../config/tracks/oschersleben/source_centerline.csv, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
32.894656,-31.084923,4.705527,-3.033564,-0.247301,5.039256
32.994536,-31.184346,4.695986,-3.066120,-0.404778,4.847100
33.094407,-31.284065,4.690469,-3.098823,-0.250268,5.039238
33.194273,-31.383884,4.687446,-3.121928,-0.212488,5.188594
33.294149,-31.483757,4.686542,3.131683,-0.380068,5.002185
33.393975,-31.583541,4.689425,3.093496,-0.384926,4.970515
33.493834,-31.683173,4.696140,3.062926,-0.227638,5.000618
33.593678,-31.782614,4.705117,3.037615,-0.279406,4.806988
33.693519,-31.881761,4.716864,3.001293,-0.448412,4.605232
33.793362,-31.980286,4.733034,2.964910,-0.280600,4.806992
33.893216,-32.078330,4.751960,2.939862,-0.221180,5.000640
33.993081,-32.175943,4.773049,2.910055,-0.376055,5.028801
34.092911,-32.272662,4.797777,2.872320,-0.379823,5.003799
34.192790,-32.368421,4.826168,2.842833,-0.210978,5.180184
34.292657,-32.463549,4.856566,2.819429,-0.257766,4.993479
34.392522,-32.557861,4.889401,2.785952,-0.412843,4.799521
34.492390,-32.650744,4.926096,2.752473,-0.257787,4.993486
34.592269,-32.742660,4.965174,2.729506,-0.202181,5.180211
34.692157,-32.833778,5.006103,2.702295,-0.342862,5.266605
34.792015,-32.923414,5.050114,2.667683,-0.350305,5.210353
34.891912,-33.011491,5.097251,2.640441,-0.195347,5.333783
34.991798,-33.098622,5.146093,2.618985,-0.234282,5.152611
35.091684,-33.184586,5.196959,2.588024,-0.385808,4.964832
35.191568,-33.268526,5.251098,2.556526,-0.244993,5.152606
35.291461,-33.351123,5.307279,2.534766,-0.190730,5.333789
35.391361,-33.432640,5.365027,2.509377,-0.317733,5.470901
35.491235,-33.512264,5.425317,2.476677,-0.337049,5.311827
35.591143,-33.589840,5.488274,2.450579,-0.185619,5.468193
35.691041,-33.666228,5.552651,2.430580,-0.214772,5.291605
35.790942,-33.741220,5.618655,2.401660,-0.364354,5.108910
35.890838,-33.813756,5.687340,2.371616,-0.237227,5.291595
35.990744,-33.884653,5.757732,2.350829,-0.178965,5.468199
36.090656,-33.954283,5.829383,2.327461,-0.288939,5.599649
36.190547,-34.021803,5.902999,2.296903,-0.322853,5.427352
36.290469,-34.086934,5.978777,2.272123,-0.173337,5.599702
36.390380,-34.150737,6.055663,2.253952,-0.190387,5.448455
36.490299,-34.213070,6.133755,2.227349,-0.342269,5.271167
36.590205,-34.272690,6.213921,2.198654,-0.232202,5.448432
