# raceline for track_id=gym_oval (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.1.0, sysid_session_id=none-preliminary
# generation_params: track_shape=stadium, straight_length_m=8.0, turn_radius_m=3.0, points_per_meter=10.0, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
32.526666,-6.081256,-2.155937,-0.767794,0.333803,5.337593
32.626693,-6.008143,-2.224200,-0.734412,0.333802,5.337595
32.726720,-5.932792,-2.289985,-0.701031,0.333802,5.337596
32.826747,-5.855288,-2.353218,-0.667649,0.333802,5.337598
32.926774,-5.775716,-2.413829,-0.634268,0.333802,5.337600
33.026801,-5.694165,-2.471751,-0.600886,0.333801,5.337601
33.126828,-5.610727,-2.526919,-0.567505,0.333801,5.337603
33.226856,-5.525494,-2.579272,-0.534123,0.333801,5.337605
33.326883,-5.438561,-2.628750,-0.500742,0.333801,5.337606
33.426910,-5.350025,-2.675300,-0.467360,0.333801,5.337608
33.526938,-5.259984,-2.718869,-0.433979,0.333800,5.337610
33.626965,-5.168540,-2.759408,-0.400598,0.333800,5.337612
33.726993,-5.075794,-2.796873,-0.367216,0.333800,5.337613
33.827021,-4.981849,-2.831222,-0.333835,0.333800,5.337615
33.927048,-4.886809,-2.862416,-0.300453,0.333800,5.337617
34.027076,-4.790782,-2.890420,-0.267072,0.333799,5.337618
34.127104,-4.693873,-2.915205,-0.233690,0.333799,5.337620
34.227132,-4.596191,-2.936741,-0.200309,0.333799,5.337622
34.327160,-4.497844,-2.955005,-0.166927,0.333799,5.337624
34.427188,-4.398943,-2.969976,-0.133546,0.333798,5.337625
34.527216,-4.299597,-2.981638,-0.100164,0.333798,5.337627
34.627244,-4.199917,-2.989978,-0.068447,0.300441,5.512967
34.727293,-4.100011,-2.995320,-0.041735,0.233586,5.682932
